"","Team","region","FinalRank","massey_rank"
"NA.80",NA,NA,NA,100
"NA.81",NA,NA,NA,101
"NA.82",NA,NA,NA,102
"NA.83",NA,NA,NA,103
"NA.84",NA,NA,NA,104
"NA.85",NA,NA,NA,105
"NA.86",NA,NA,NA,106
"NA.87",NA,NA,NA,107
"NA.88",NA,NA,NA,108
"NA.89",NA,NA,NA,109
"NA.90",NA,NA,NA,110
"NA.91",NA,NA,NA,111
"NA.92",NA,NA,NA,112
"NA.93",NA,NA,NA,113
"NA.94",NA,NA,NA,114
"NA.95",NA,NA,NA,115
"NA.96",NA,NA,NA,116
"NA.97",NA,NA,NA,117
"NA.98",NA,NA,NA,118
"NA.99",NA,NA,NA,119
"NA.100",NA,NA,NA,120
"NA.101",NA,NA,NA,121
"NA.102",NA,NA,NA,122
"NA.103",NA,NA,NA,123
"NA.104",NA,NA,NA,124
"NA.105",NA,NA,NA,125
"NA.106",NA,NA,NA,126
"NA.107",NA,NA,NA,127
"NA.108",NA,NA,NA,128
"NA.109",NA,NA,NA,129
"NA.110",NA,NA,NA,130
"NA.111",NA,NA,NA,131
"NA.112",NA,NA,NA,132
"NA.113",NA,NA,NA,133
"NA.114",NA,NA,NA,134
"NA.115",NA,NA,NA,135
"NA.116",NA,NA,NA,136
"NA.117",NA,NA,NA,137
"NA.118",NA,NA,NA,138
"NA.119",NA,NA,NA,139
"NA.120",NA,NA,NA,140
"NA.121",NA,NA,NA,141
"NA.122",NA,NA,NA,142
"NA.123",NA,NA,NA,143
"NA.124",NA,NA,NA,144
"NA.125",NA,NA,NA,145
"NA.126",NA,NA,NA,146
"NA.127",NA,NA,NA,147
"NA.128",NA,NA,NA,148
"NA.129",NA,NA,NA,149
"NA.130",NA,NA,NA,150
"NA.131",NA,NA,NA,151
"NA.132",NA,NA,NA,152
"NA.133",NA,NA,NA,153
"NA.134",NA,NA,NA,154
"NA.135",NA,NA,NA,155
"NA.136",NA,NA,NA,156
"NA.137",NA,NA,NA,157
"NA.138",NA,NA,NA,158
"NA.139",NA,NA,NA,159
"NA.140",NA,NA,NA,160
"NA.141",NA,NA,NA,161
"NA.142",NA,NA,NA,162
"NA.143",NA,NA,NA,163
"NA.144",NA,NA,NA,164
"NA.145",NA,NA,NA,165
"NA.146",NA,NA,NA,166
"NA.147",NA,NA,NA,167
"NA.148",NA,NA,NA,168
"NA.149",NA,NA,NA,169
"NA.150",NA,NA,NA,170
"NA.151",NA,NA,NA,171
"NA.152",NA,NA,NA,172
"NA.153",NA,NA,NA,173
"NA.154",NA,NA,NA,174
"NA.155",NA,NA,NA,175
"NA.156",NA,NA,NA,176
"NA.157",NA,NA,NA,177
"NA.158",NA,NA,NA,178
"NA.159",NA,NA,NA,179
"NA.160",NA,NA,NA,180
"NA.161",NA,NA,NA,181
"NA.162",NA,NA,NA,182
"NA.163",NA,NA,NA,183
"NA.164",NA,NA,NA,184
"NA.165",NA,NA,NA,185
"NA.166",NA,NA,NA,186
"NA.167",NA,NA,NA,187
"NA.168",NA,NA,NA,188
"NA.169",NA,NA,NA,189
"NA.170",NA,NA,NA,190
"NA.171",NA,NA,NA,191
"NA.172",NA,NA,NA,192
"NA.173",NA,NA,NA,193
"NA.174",NA,NA,NA,194
"NA.175",NA,NA,NA,195
"NA.176",NA,NA,NA,196
"NA.177",NA,NA,NA,197
"NA.178",NA,NA,NA,198
"NA.179",NA,NA,NA,199
"NA.180",NA,NA,NA,200
"NA.181",NA,NA,NA,201
"NA.182",NA,NA,NA,202
"NA.183",NA,NA,NA,203
"NA.184",NA,NA,NA,204
"NA.185",NA,NA,NA,205
"NA.186",NA,NA,NA,206
"NA.187",NA,NA,NA,207
"NA.188",NA,NA,NA,208
"NA.189",NA,NA,NA,209
"NA.190",NA,NA,NA,210
"NA.191",NA,NA,NA,211
"NA.192",NA,NA,NA,212
"NA.193",NA,NA,NA,213
"NA.194",NA,NA,NA,214
"NA.195",NA,NA,NA,215
"NA.196",NA,NA,NA,216
"NA.197",NA,NA,NA,217
"NA.198",NA,NA,NA,218
"NA.199",NA,NA,NA,219
