"","Team","region","FinalRank","massey_rank"
"NA.133",NA,NA,NA,176
"NA.134",NA,NA,NA,177
"NA.135",NA,NA,NA,178
"NA.136",NA,NA,NA,179
"NA.137",NA,NA,NA,180
"NA.138",NA,NA,NA,181
"NA.139",NA,NA,NA,182
"NA.140",NA,NA,NA,183
"NA.141",NA,NA,NA,184
"NA.142",NA,NA,NA,185
"NA.143",NA,NA,NA,186
"NA.144",NA,NA,NA,187
"NA.145",NA,NA,NA,188
"NA.146",NA,NA,NA,189
"NA.147",NA,NA,NA,190
"NA.148",NA,NA,NA,191
"NA.149",NA,NA,NA,192
"NA.150",NA,NA,NA,193
"NA.151",NA,NA,NA,194
"NA.152",NA,NA,NA,195
"NA.153",NA,NA,NA,196
"NA.154",NA,NA,NA,197
"NA.155",NA,NA,NA,198
"NA.156",NA,NA,NA,199
"NA.157",NA,NA,NA,200
"NA.158",NA,NA,NA,201
"NA.159",NA,NA,NA,202
"NA.160",NA,NA,NA,203
"NA.161",NA,NA,NA,204
"NA.162",NA,NA,NA,205
"NA.163",NA,NA,NA,206
"NA.164",NA,NA,NA,207
"NA.165",NA,NA,NA,208
"NA.166",NA,NA,NA,209
"NA.167",NA,NA,NA,210
"NA.168",NA,NA,NA,211
"NA.169",NA,NA,NA,212
"NA.170",NA,NA,NA,213
"NA.171",NA,NA,NA,214
"319","unc_pembroke_braves","South",NA,215
"NA.172",NA,NA,NA,216
"NA.173",NA,NA,NA,217
"NA.174",NA,NA,NA,218
"NA.175",NA,NA,NA,219
"NA.176",NA,NA,NA,220
"NA.177",NA,NA,NA,221
"NA.178",NA,NA,NA,222
"NA.179",NA,NA,NA,223
"NA.180",NA,NA,NA,224
"NA.181",NA,NA,NA,225
"NA.182",NA,NA,NA,226
"NA.183",NA,NA,NA,227
"NA.184",NA,NA,NA,228
"NA.185",NA,NA,NA,229
"NA.186",NA,NA,NA,230
"NA.187",NA,NA,NA,231
"NA.188",NA,NA,NA,232
"NA.189",NA,NA,NA,233
"NA.190",NA,NA,NA,234
"NA.191",NA,NA,NA,235
"NA.192",NA,NA,NA,236
"NA.193",NA,NA,NA,237
"NA.194",NA,NA,NA,238
"NA.195",NA,NA,NA,239
"NA.196",NA,NA,NA,240
"NA.197",NA,NA,NA,241
"NA.198",NA,NA,NA,242
"NA.199",NA,NA,NA,243
