"","Team","region","FinalRank","colley_rank"
"NA.160",NA,NA,NA,209
"NA.161",NA,NA,NA,210
"NA.162",NA,NA,NA,211
"NA.163",NA,NA,NA,212
"NA.164",NA,NA,NA,213
"NA.165",NA,NA,NA,214
"NA.166",NA,NA,NA,215
"NA.167",NA,NA,NA,216
"NA.168",NA,NA,NA,217
"NA.169",NA,NA,NA,218
"NA.170",NA,NA,NA,219
"NA.171",NA,NA,NA,220
"NA.172",NA,NA,NA,221
"NA.173",NA,NA,NA,222
"NA.174",NA,NA,NA,223
"NA.175",NA,NA,NA,224
"NA.176",NA,NA,NA,225
"NA.177",NA,NA,NA,226
"NA.178",NA,NA,NA,227
"NA.179",NA,NA,NA,228
"NA.180",NA,NA,NA,229
"NA.181",NA,NA,NA,230
"NA.182",NA,NA,NA,231
"NA.183",NA,NA,NA,232
"NA.184",NA,NA,NA,233
"NA.185",NA,NA,NA,234
"NA.186",NA,NA,NA,235
"NA.187",NA,NA,NA,236
"NA.188",NA,NA,NA,237
"NA.189",NA,NA,NA,238
"NA.190",NA,NA,NA,239
"NA.191",NA,NA,NA,240
"NA.192",NA,NA,NA,241
"NA.193",NA,NA,NA,242
"NA.194",NA,NA,NA,243
"NA.195",NA,NA,NA,244
"NA.196",NA,NA,NA,245
"NA.197",NA,NA,NA,246
"NA.198",NA,NA,NA,247
"NA.199",NA,NA,NA,248
