"","game_id","game_date","team","FGA_2","FGM_2","FGA_3","FGM_3","FTA","FTM","AST","BLK","STL","TOV","TOV_team","DREB","OREB","F_tech","F_personal","team_score","opponent_team_score","largest_lead","notD1_incomplete","OT_length_min_tot","rest_days","attendance","tz_dif_H_E","prev_game_dist","home_away","home_away_NS","travel_dist"
"111","game_2022_56","2021-11-09","life_pacific","60","18","21","5","13","6","6","0","3","6","0","26","10","0","6","57","107","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"112","game_2022_56","2021-11-09","utah_tech_trailblazers","27","17","51","22","11","7","28","4","3","13","0","51","15","0","14","107","57","56","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"113","game_2022_57","2021-11-09","new_mexico_state_aggies","55","28","16","6","23","20","16","0","7","7","1","26","15","1","14","94","40","57","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"114","game_2022_57","2021-11-09","western_new_mexico_mustangs","26","8","19","6","11","6","6","2","3","26","3","21","4","0","18","40","94","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"117","game_2022_59","2021-11-09","abilene_christian_wildcats","25","17","40","17","18","14","22","4","12","14","4","38","11","0","15","99","43","56","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"118","game_2022_59","2021-11-09","university_of_the_southwest_mustangs","38","11","18","4","15","9","5","0","3","18","0","16","5","0","16","43","99","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"141","game_2022_71","2021-11-09","manchester_spartans","23","6","16","6","8","5","7","0","3","34","3","22","5","0","10","35","102","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"142","game_2022_71","2021-11-09","purdue_fort_wayne_mastodons","43","21","29","16","14","12","27","1","24","5","0","22","13","0","6","102","35","67","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"161","game_2022_81","2021-11-09","belmont_abbey_crusaders","29","10","17","4","14","8","7","2","8","25","1","20","6","0","15","40","89","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"162","game_2022_81","2021-11-09","liberty_flames","45","24","26","12","11","5","21","4","13","13","0","29","17","0","15","89","40","49","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"163","game_2022_82","2021-11-09","florida_memorial_lions","41","12","10","2","18","11","6","1","6","34","0","28","5","0","26","41","105","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"164","game_2022_82","2021-11-09","florida_gulf_coast_eagles","30","22","50","14","27","19","29","3","22","14","0","35","18","0","20","105","41","69","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"171","game_2022_86","2021-11-09","app_state_mountaineers","26","15","34","10","24","15","18","7","16","24","0","24","13","0","20","75","41","37","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"172","game_2022_86","2021-11-09","lees_mcrae_bobcats","45","17","4","0","15","7","5","0","12","31","0","21","8","0","22","41","75","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"173","game_2022_87","2021-11-09","arkansas_state_red_wolves","31","14","44","12","24","19","18","5","10","6","0","24","15","0","20","83","52","32","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"174","game_2022_87","2021-11-09","central_baptist_college_mustangs","50","15","8","1","22","19","5","2","3","26","2","37","19","0","22","52","83","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"175","game_2022_88","2021-11-09","coastal_carolina_chanticleers","68","48","12","4","13","9","29","8","27","13","0","30","21","0","8","117","25","92","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"176","game_2022_88","2021-11-09","agnes_scott_college_scotties","40","7","11","3","4","2","6","2","7","37","0","10","11","0","13","25","117","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"179","game_2022_90","2021-11-09","texas_am_kingsville_javelinas","27","11","29","9","13","9","10","4","0","12","0","22","11","0","22","58","84","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"180","game_2022_90","2021-11-09","louisiana_ragin_cajuns","42","21","18","8","25","18","13","2","6","4","0","26","13","0","15","84","58","27","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"181","game_2022_91","2021-11-09","talladega_tornadoes","57","25","18","8","12","7","25","2","8","17","0","21","9","0","24","81","101","8","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"182","game_2022_91","2021-11-09","troy_trojans","61","33","17","4","28","23","21","5","12","20","0","35","23","0","16","101","81","20","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"183","game_2022_92","2021-11-09","chestnut_hill_college_griffins","43","14","14","3","18","11","10","1","2","24","2","24","9","0","18","48","87","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"184","game_2022_92","2021-11-09","delaware_blue_hens","52","22","22","9","18","16","16","5","8","16","0","32","20","0","19","87","48","41","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"189","game_2022_95","2021-11-09","frostburg_state_bobcats","40","10","18","9","19","12","6","0","3","23","2","18","7","0","17","59","113","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"190","game_2022_95","2021-11-09","towson_tigers","76","41","24","7","13","10","15","2","12","10","0","32","29","0","18","113","59","55","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"203","game_2022_102","2021-11-09","jarvis_christian_bulldogs","33","11","16","5","25","16","7","3","3","33","1","25","15","0","27","53","103","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"204","game_2022_102","2021-11-09","louisiana_tech_lady_techsters","69","35","12","4","30","21","13","2","19","9","0","22","23","0","21","103","53","50","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"205","game_2022_103","2021-11-09","bluefield_state_big_blues","19","6","27","8","18","9","11","2","5","30","0","20","7","0","19","45","108","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"206","game_2022_103","2021-11-09","marshall_thundering_herd","57","33","17","9","21","15","20","1","21","11","0","28","16","0","21","108","45","72","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"213","game_2022_107","2021-11-09","rice_owls","45","27","19","6","23","12","20","4","14","10","0","26","13","0","19","84","41","43","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"214","game_2022_107","2021-11-09","st_edwards_hilltoppers","36","9","11","3","16","14","7","3","5","25","1","23","9","0","20","41","84","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"215","game_2022_108","2021-11-09","southern_miss_lady_eagles","45","22","15","5","21","13","19","5","13","20","0","30","14","0","21","72","42","34","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"216","game_2022_108","2021-11-09","william_carey_crusaders","39","10","12","4","13","10","6","0","7","27","1","23","8","0","14","42","72","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"223","game_2022_112","2021-11-09","eastern_illinois_panthers","48","28","16","6","18","12","17","2","18","14","0","31","12","0","15","86","30","56","FALSE",NA,NA,"137","0",NA,"home","1","0"
"224","game_2022_112","2021-11-09","lindenwood_lions","23","7","21","4","11","4","9","1","5","29","0","20","5","0","18","30","86","0","TRUE",NA,NA,"137","0",NA,"away","-1","214"
"227","game_2022_114","2021-11-09","asbury_eagles","25","7","48","8","2","2","7","3","6","14","0","25","14","0","16","40","79","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"228","game_2022_114","2021-11-09","murray_state_racers","54","27","21","5","15","10","24","6","9","12","0","44","21","0","7","79","40","39","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"229","game_2022_115","2021-11-09","alcorn_state_lady_braves","35","7","15","5","10","6","8","2","3","25","0","12","7","0","28","35","96","0","TRUE",NA,NA,"255","0",NA,"away","-1","1279"
"230","game_2022_115","2021-11-09","marquette_golden_eagles","52","32","13","4","28","20","22","3","16","15","0","33","19","0","14","96","35","61","FALSE",NA,NA,"255","0",NA,"home","1","0"
"231","game_2022_116","2021-11-09","east_stroudsburg_university_warriors","37","9","15","4","9","5","7","0","4","32","3","27","12","0","14","35","82","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"232","game_2022_116","2021-11-09","lehigh_mountain_hawks","31","22","36","9","14","11","22","7","16","12","0","26","11","0","10","82","35","37","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"237","game_2022_119","2021-11-09","paul_quinn_tigers","48","23","8","2","35","18","13","1","6","38","1","40","10","0","20","70","83","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"238","game_2022_119","2021-11-09","prairie_view_am_lady_panthers","52","23","28","8","22","13","20","9","21","17","1","25","7","0","27","83","70","25","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"245","game_2022_123","2021-11-09","bethel_tn_wildcats","24","10","19","3","23","17","8","2","4","16","1","22","4","0","24","46","85","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"246","game_2022_123","2021-11-09","tennessee_tech_golden_eagles","47","22","24","8","21","17","22","2","9","7","0","28","22","0","16","85","46","39","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"255","game_2022_128","2021-11-09","akron_zips","42","22","34","13","23","14","20","7","9","9","0","39","16","0","15","97","54","43","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"256","game_2022_128","2021-11-09","slippery_rock_the_rock","49","16","19","4","15","10","6","2","6","15","0","29","11","0","17","54","97","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"257","game_2022_129","2021-11-09","csu_pueblo_thunderwolves","28","10","33","8","10","9","9","9","5","11","0","32","10","0","23","53","67","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"258","game_2022_129","2021-11-09","wyoming_cowgirls","42","17","17","5","25","18","14","2","6","9","0","33","11","0","8","67","53","21","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"261","game_2022_131","2021-11-09","kentucky_state_thorobreds","45","19","15","6","9","2","13","5","11","27","0","22","9","0","25","58","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"262","game_2022_131","2021-11-09","western_michigan_broncos","40","25","25","8","30","21","15","3","14","19","1","28","15","0","16","95","58","48","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"263","game_2022_132","2021-11-09","westminster_ut_griffins","44","26","23","6","13","8","18","1","2","15","1","27","14","0","20","78","83","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"264","game_2022_132","2021-11-09","utah_state_aggies","51","19","19","9","28","18","13","1","9","9","0","23","20","0","12","83","78","8","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"265","game_2022_133","2021-11-09","san_diego_state_aztecs","34","14","23","13","8","5","22","2","7","14","0","26","8","0","17","72","57","22","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"266","game_2022_133","2021-11-09","cal_state_la_golden_eagles","32","14","32","7","9","8","14","1","7","15","2","24","16","0","13","57","72","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"267","game_2022_134","2021-11-09","colorado_christian_cougars","34","10","20","6","8","4","7","0","4","15","1","28","8","0","12","42","77","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"268","game_2022_134","2021-11-09","colorado_state_rams","34","18","32","11","8","8","24","6","6","6","1","31","9","0","14","77","42","36","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"269","game_2022_135","2021-11-09","campbell_fighting_camels","58","37","18","3","26","16","27","5","9","18","0","42","25","0","16","99","35","64","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"270","game_2022_135","2021-11-09","pfeiffer_falcons","36","10","27","2","15","9","4","0","9","24","0","16","12","0","26","35","99","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"271","game_2022_136","2021-11-09","johnson_university_fl_suns","27","8","14","6","4","2","6","1","4","39","0","9","1","0","15","36","127","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"272","game_2022_136","2021-11-09","stetson_hatters","61","49","21","5","18","14","36","1","32","9","0","26","19","0","8","127","36","91","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"273","game_2022_137","2021-11-09","auburn_montgomery_senators","30","13","14","3","7","4","9","0","3","24","3","24","3","0","19","39","89","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"274","game_2022_137","2021-11-09","jacksonville_state_gamecocks","44","23","27","10","21","13","16","1","14","8","0","25","20","0","12","89","39","50","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"275","game_2022_138","2021-11-09","thomas_ga_night_hawks","31","9","11","2","13","7","4","3","3","43","0","26","5","0","26","31","100","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"276","game_2022_138","2021-11-09","kennesaw_state_owls","59","31","23","7","24","17","24","1","22","14","0","28","22","0","13","100","31","72","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"277","game_2022_139","2021-11-09","mobile_rams","43","18","18","3","20","14","10","2","9","19","0","28","14","0","19","59","63","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"278","game_2022_139","2021-11-09","south_alabama_jaguars","42","14","17","6","24","17","8","4","9","19","1","27","13","0","16","63","59","13","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"279","game_2022_140","2021-11-09","university_of_science_and_arts_drovers","51","18","18","5","11","7","9","2","11","18","2","22","14","0","21","58","93","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"280","game_2022_140","2021-11-09","north_texas_mean_green","40","26","25","8","29","17","13","3","9","18","0","34","17","0","14","93","58","37","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"281","game_2022_141","2021-11-09","norfolk_state_spartans","60","23","16","4","26","23","11","6","16","12","0","34","17","0","16","81","53","28","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"282","game_2022_141","2021-11-09","chowan_hawks","50","16","14","3","19","12","7","5","1","27","0","33","16","0","18","53","81","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"283","game_2022_142","2021-11-09","university_of_health_sciences_pharmacy_eutectics","26","11","19","4","18","11","9","0","5","20","2","25","6","0","16","45","68","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"284","game_2022_142","2021-11-09","southeast_missouri_state_redhawks","43","23","22","5","10","7","17","2","13","9","0","26","12","0","12","68","45","28","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"287","game_2022_144","2021-11-09","stephens","37","9","12","0","21","15","3","0","7","36","2","24","13","0","16","33","88","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"288","game_2022_144","2021-11-09","indiana_state_sycamores","49","30","24","7","16","7","25","2","21","17","1","31","16","0","17","88","33","57","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"289","game_2022_145","2021-11-09","montana_lady_griz","44","26","18","6","20","14","16","7","7","18","0","47","7","0","13","84","46","41","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"290","game_2022_145","2021-11-09","northwest_nazarene_nighthawks","47","11","32","5","10","9","8","1","9","14","0","27","16","0","20","46","84","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"291","game_2022_146","2021-11-09","park_university_gilbert_buccaneers","44","15","16","5","4","2","13","2","12","33","1","21","13","0","17","47","90","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"292","game_2022_146","2021-11-09","utah_valley_wolverines","40","24","26","9","17","15","25","4","16","26","0","27","14","0","15","90","47","44","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"293","game_2022_147","2021-11-09","uc_davis_aggies","40","19","17","6","16","13","18","5","6","18","0","36","8","0","11","69","51","20","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"294","game_2022_147","2021-11-09","academy_of_art_urban_knights","41","15","27","5","12","6","10","2","11","14","1","25","13","0","16","51","69","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"295","game_2022_148","2021-11-09","bethesda_university_lion_angels","23","2","24","4","8","3","5","0","8","35","4","16","12","0","13","19","111","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"296","game_2022_148","2021-11-09","cal_state_bakersfield_roadrunners","57","35","31","11","12","8","26","7","21","13","1","32","28","0","17","111","19","93","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"299","game_2022_150","2021-11-09","lewis_clark_st_warriors","46","14","15","2","17","12","6","1","3","18","2","35","7","0","8","46","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"300","game_2022_150","2021-11-09","idaho_vandals","37","13","52","21","13","6","26","2","10","8","0","43","23","0","14","95","46","55","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"301","game_2022_151","2021-11-09","northwest_university_eagles","42","7","14","3","16","9","7","2","8","25","2","23","13","0","13","32","89","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"302","game_2022_151","2021-11-09","seattle_u_redhawks","48","30","28","8","11","5","30","6","14","13","0","37","19","0","19","89","32","57","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"317","game_2022_159","2021-11-10","grand_canyon_lopes","66","34","19","7","9","6","16","1","27","18","0","23","19","0","23","95","48","49","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"318","game_2022_159","2021-11-10","arizona_christian_firestorm","32","13","13","4","20","10","5","0","9","41","2","25","7","0","12","48","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"333","game_2022_167","2021-11-10","mount_olive_trojans","48","18","15","7","11","8","10","1","10","21","0","15","13","0","23","65","74","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"334","game_2022_167","2021-11-10","unc_wilmington_seahawks","45","23","9","3","24","19","13","1","4","27","0","27","16","0","17","74","65","13","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"337","game_2022_169","2021-11-10","florida_atlantic_owls","41","22","14","7","33","23","17","4","12","18","0","37","13","0","20","88","41","47","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"338","game_2022_169","2021-11-10","palm_beach_atlantic_sailfish","50","11","20","2","17","13","3","2","7","19","1","18","22","0","26","41","88","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"339","game_2022_170","2021-11-10","shorter_hawks","52","16","11","0","15","13","4","3","7","18","0","21","12","0","22","45","76","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"340","game_2022_170","2021-11-10","uab_blazers","46","23","17","3","26","21","10","4","12","17","0","34","18","0","17","76","45","33","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"357","game_2022_179","2021-11-10","bethune_cookman_wildcats","35","23","12","2","23","18","9","3","10","22","2","31","5","0","17","70","58","17","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"358","game_2022_179","2021-11-10","edward_waters_tigers","44","20","23","1","20","15","9","2","13","16","0","18","16","0","19","58","70","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"371","game_2022_186","2021-11-11","north_florida_ospreys","49","28","31","9","12","9","25","2","22","9","0","21","16","0","21","92","40","52","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"372","game_2022_186","2021-11-11","warner_university_royals","24","7","14","4","22","14","4","2","3","37","5","29","8","0","15","40","92","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"395","game_2022_198","2021-11-11","sam_houston_bearkats","60","25","10","4","33","24","17","7","20","21","0","27","17","0","20","86","62","27","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"396","game_2022_198","2021-11-11","wiley_wildcats","49","17","12","5","16","13","14","6","13","33","1","27","13","0","25","62","86","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"413","game_2022_207","2021-11-11","pacific_tigers","46","29","15","4","17","13","19","2","16","15","0","34","7","0","9","83","33","50","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"414","game_2022_207","2021-11-11","jessup_university_warriors","28","4","28","8","2","1","8","3","8","25","4","18","5","0","11","33","83","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"429","game_2022_215","2021-11-11","transylvania_pioneers","25","10","32","7","14","10","8","1","6","22","0","26","10","0","16","51","74","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"430","game_2022_215","2021-11-11","eastern_kentucky_colonels","61","24","18","5","16","11","15","5","10","12","0","31","24","0","20","74","51","23","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"431","game_2022_216","2021-11-11","nicholls_colonels","46","19","21","3","20","16","7","5","7","13","0","31","22","0","17","63","44","24","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"432","game_2022_216","2021-11-11","tougaloo_bulldogs","36","11","21","5","10","7","11","0","6","18","1","23","12","0","20","44","63","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"449","game_2022_225","2021-11-12","central_arkansas_sugar_bears","55","32","3","1","11","7","19","6","10","12","0","37","8","0","13","74","35","39","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"450","game_2022_225","2021-11-12","hendrix_college_warriors","31","7","27","4","15","9","7","1","6","16","0","19","12","0","15","35","74","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"475","game_2022_238","2021-11-12","missouri_science_technology_miners","43","18","22","7","8","4","15","1","7","12","0","29","9","0","12","61","70","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"476","game_2022_238","2021-11-12","denver_pioneers","44","22","27","6","11","8","16","8","8","9","0","33","15","0","6","70","61","9","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"477","game_2022_239","2021-11-12","lamar_cardinals","44","28","27","12","17","15","25","6","13","8","0","34","13","0","19","107","37","70","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"478","game_2022_239","2021-11-12","howard_payne_yellow_jackets","27","4","23","5","23","14","5","1","3","25","0","19","14","0","22","37","107","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"511","game_2022_256","2021-11-12","charleston_cougars","62","38","28","9","13","10","25","7","19","10","0","35","17","0","11","113","52","61","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"512","game_2022_256","2021-11-12","pfeiffer_falcons","55","13","23","7","7","5","8","1","5","29","0","27","23","0","12","52","113","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"521","game_2022_261","2021-11-12","austin_peay_governors","52","32","11","3","9","5","17","5","5","10","0","30","8","0","22","78","49","34","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"522","game_2022_261","2021-11-12","pikeville_bears","36","15","14","2","22","13","7","0","4","19","0","22","10","0","18","49","78","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"527","game_2022_264","2021-11-12","salem_university","33","4","42","10","14","10","7","3","9","14","0","18","10","0","19","48","86","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"528","game_2022_264","2021-11-12","georgetown_hoyas","56","30","11","3","28","17","22","12","8","24","1","53","20","0","20","86","48","45","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"533","game_2022_267","2021-11-12","florida_memorial_lions","32","20","24","7","16","8","10","2","7","21","4","26","12","0","17","69","72","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"534","game_2022_267","2021-11-12","florida_international_panthers","36","21","31","7","16","9","9","2","8","22","1","20","16","0","22","72","69","9","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"537","game_2022_269","2021-11-12","lsu_alexandria_generals","38","10","25","9","4","1","15","0","10","24","1","19","11","0","12","48","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"538","game_2022_269","2021-11-12","louisiana_tech_lady_techsters","48","31","15","8","13","9","25","5","17","17","0","35","7","0","11","95","48","53","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"541","game_2022_271","2021-11-13","north_florida_ospreys","47","37","32","13","19","13","43","8","19","13","0","34","15","0","18","126","31","95","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"542","game_2022_271","2021-11-13","trinity_baptist_eagles","29","5","15","3","22","12","4","1","5","37","3","16","8","0","19","31","126","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"559","game_2022_280","2021-11-13","park_university_gilbert_buccaneers","44","15","14","5","16","11","6","1","5","31","0","28","11","0","22","56","109","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"560","game_2022_280","2021-11-13","idaho_state_bengals","58","28","30","14","15","11","34","3","19","11","0","30","19","0","18","109","56","53","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"579","game_2022_290","2021-11-13","mcneese_cowgirls","27","17","37","17","19","13","26","3","20","18","1","28","11","0","12","98","48","50","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"580","game_2022_290","2021-11-13","southwestern_assemblies_of_god_lions","35","15","20","3","11","9","11","1","10","31","2","22","11","0","15","48","98","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"581","game_2022_291","2021-11-13","texas_am_texarkana_eagles","42","18","13","3","13","11","13","4","8","25","1","27","7","2","21","56","71","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"582","game_2022_291","2021-11-13","northwestern_state_lady_demons","37","18","28","7","19","14","14","2","11","18","1","28","15","2","18","71","56","15","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"613","game_2022_307","2021-11-13","fort_valley_state_wildcats","48","23","19","2","30","19","8","2","12","30","2","20","18","0","23","71","99","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"614","game_2022_307","2021-11-13","georgia_southern_eagles","55","30","20","6","26","21","12","2","21","29","0","29","22","0","25","99","71","28","FALSE",NA,"2",NA,NA,NA,"home","0",NA
